License #,Status,Entity Name,Trade Name,Address,Class,Type 
A BRA -092990,Active,DARIEN DC LLC,Bidwell-PORTABLE BAR,"1309 5TH ST NE, WASHINGTON, DC 2002",C,Tavern 
A BRA -093303,Active,"PENTHOUSE NAVY YARDS, LLC.",PENTHOUSE POOL AND LOUNGE,"1212 4TH ST SE, WASHINGTON, DC",C,Tavern 
A BRA -093572,Active,"Kat, LLC",Cloud Restaurant & Lounge,"1919 9TH ST NW, WASHINGTON, DC 20001",C,Tavern 
A BRA -093592,Active,2446 RU LLC,Roofer's Union � Jug and Table,"2442 18TH ST NW, WASHINGTON, DC 20009",C,Tavern 
A BRA -093948,Active,"Pinnacle Consumption, LLC",Brookland Pint,"716 Monroe ST NE, WASHINGTON, DC 20017",C,Tavern 
A BRA -093984,Active,Eagle N Exile LLC,DC Eagle,"3701 Benning RD NE, #A, WASHINGTON, DC 20019",C,Tavern 
A BRA -094011,Active,"Lepri, LLC",Steel Plate,"3523 12TH ST NE, WASHINGTON, DC 20017",C,Tavern 
A BRA -094013,Active,"Benti Lounge, LLC",Peace Lounge,"2632 GEORGIA AVE NW, WASHINGTON, DC 20001",C,Tavern 
A BRA -094018,Active,"Carlson Restaurant Group, LLC",The Royal,"501 FLORIDA AVE NW, WASHINGTON, DC 20001",C,Tavern 
A BRA -094052,Active,"2323 TTTDC on 18th, LLC",The Town Tavern,"2323 18TH ST NW, Washington, DC 20009",C,Tavern 
A BRA -094089,Active,Cornerstone Bar Group LLC,The Pub and the People,"1648 North Capitol ST NW, WASHINGTON, DC 20001",C,Tavern 
A BRA -094107,Active,"New York Avenue Beach Bar, LLC",Halftime Sports Bar,"1427 H ST NE, WASHINGTON, DC 20002",C,Tavern 
A BRA -094158,Active,ICH Prop LLC,The Public Option,"1601 RHODE ISLAND AVE NE, WASHINGTON, DC 20018",C,Tavern 
A BRA -094321,Active,"Colony Club, LLC",Colony Club,"3118 GEORGIA AVE NW, WASHINGTON, DC 20010",C,Tavern 
A BRA -094424,Active,"Smith Public Trust DC,",Smith Public Trust,"3514 12TH ST NE, WASHINGTON, DC 20017",C,Tavern 
A BRA -094510,Active,Lost and Found LLC,Lost and Found,"1240 9TH ST NW, WASHINGTON, DC 20001",C,Tavern 
A BRA -094801,Active,MRG 600 F LLC,Denson,"600 F ST NW, WASHINGTON, DC 20004",C,Tavern 
A BRA -094804,Active,TAKOREAN 1212 LLC,TAKOREAN,"1212 FOURTH ST SE, WASHINGTON, DC 20003",C,Tavern 
A BRA -095003,Active,"It Takes Two, LLC",Dino's Grotto,"1914 9TH ST NW, Washington, DC 20001",C,Tavern 
A BRA -095047,Active,"Fair and Balanced, LLC",Evolve Vegan Restaurant,"341 Cedar ST NW, WASHINGTON, DC 20012",C,Tavern 
A BRA -095107,Active,THE PITCH LLC,The Pitch,"4015 GEORGIA AVE NW, WASHINGTON, DC 20011",C,Tavern 
A BRA -095111,Active,"Angelika Film Center Union Market, LLC",Angelika Pop-Up,"550 PENN ST NE, WASHINGTON, DC 20002",C,Tavern 
A BRA -095113,Active,Darnell Perkins & Associates LLC,Darnell's,"944 FLORIDA AVE NW, Washington, DC 20002",C,Tavern 
A BRA -095164,Active,TMI International Inc,Sip,"1812 Hamlin ST NE, WASHINGTON, DC 20018",C,Tavern 
A BRA -095249,Active,"El Pulgarcito, LLC",El Pulgarcito,"5313 GEORGIA AVE NW, WASHINGTON, DC 20011",C,Tavern 
A BRA -095398,Active,"Crave, LLC",Mess Hall,"703 EDGEWOOD ST NE, WASHINGTON, DC 20017",C,Tavern 
A BRA -095632,Active,"NPB Group, LLC",Georgetown Piano Bar,"3287 M ST NW, Washington, DC 20007",C,Tavern 
A BRA -095711,Active,Lemma Holdings LLC,Bliss,"2122 24TH PL NE, WASHINGTON, DC 20018",C,Tavern 
A BRA -095913,Active,"Neighborhood Restaurant Group XIX, LLC",The Sovereign,"1206 WISCONSIN AVE NW, Washington, DC 20007",C,Tavern 
A BRA -095920,Active,Brightwood L.L.C.,Swampoodle,"5501 14TH ST NW, WASHINGTON, DC 20011",C,Tavern 
A BRA -096137,Active,"Songbyrd, L.L.C.",Songbyrd,"2477 18TH ST NW, Washington, DC 20009",C,Tavern 
A BRA -096474,Active,Lattice Partners LLC,Copycat Co.,"1110 H ST NE, WASHINGTON, DC 20002",C,Tavern 
A BRA -096484,Active,"319 Pennsylvania Ave, LLC",The Stanton,"319 PENNSYLVANIA AVE SE, Washington, DC 20003",C,Tavern 
A BRA -096522,Active,"SEB, INC.",Uncle Chip's,"1514 NORTH CAPITOL ST NW, WASHINGTON, DC 20002",C,Tavern 
